text,user,created_at,timestamp,geo,polarity
"Arsenal XI vs Chelsea: Čech; Bellerín, Gabriel, Koscielny, Monreal; Coquelin, Cazorla; Ramsey, Özil, Sánchez; Walcott. #AFC",jejaring_bola,2015-09-19 11:32:55,1442662375147,,2
#AFC all the way,SeyubaKatongo,2015-09-19 11:32:58,1442662378105,,2
#COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC #COYG #AFC,JokkeneThomas,2015-09-19 11:33:01,1442662381668,,2
I'm ready for The Arsenal #AFC,Vuyo_Foba,2015-09-19 11:33:04,1442662384717,,2
We'll see with anything else. Not sure if we'll keep a clean sheet. Haven't in the last 5+ matches against CFC away. #AFC -E,donein90,2015-09-19 11:33:06,1442662386910,,2
"Today's game won't be as easy as they think. 
Support yours, I support mine.
Am ALL for Arsenal.
The grass will suffer!
#CFCvAFC #COYG #AFC",swtlovex,2015-09-19 11:33:08,1442662388675,,2
"Cazorla has completed 1601 passes in the Premier League during 2015, 289 more than any other player. #AFC http://t.co/epVCfLUno6",SquawkaDave,2015-09-19 11:33:11,1442662391718,,2
Jose and Arsene are like to kids in a playground .. Just kiss and make up lol  #CFC #AFC,1976sherry,2015-09-19 11:33:13,1442662393968,,2
"#AFC 
Good luck gunners 👍👍☺",fove2016,2015-09-19 11:33:16,1442662396413,,2
#AFC  https://t.co/dhAw7rub63,ArtificialSteez,2015-09-19 11:33:16,1442662396697,,2
NEW Customer special. 7/1 Chelsea or 8/1 Arsenal. Take your pick now &gt; http://t.co/4ABgNhYAPo #AFC #CFC #BPL ⚽️ http://t.co/FSvkeEvZca,EnhancedFooty,2015-09-19 11:33:18,1442662398240,,2
@StrettyEndGary yes m doing jus fine Gary...hope u r havg a good day..who are u rooting for? #CFC or #AFC,DEBANJALEESEN,2015-09-19 11:33:26,1442662406808,,4
#AFC,TERD1OSESTEGEN,2015-09-19 11:33:31,1442662411553,,2
#AFC 😎😎,tasha_trendy,2015-09-19 11:33:38,1442662418295,,2
#AFC #Arsenal #COYG,DonLukak,2015-09-19 11:33:41,1442662421941,,2
At least we not playing a big team today #AFC #LondonDerby,Great_Kopi,2015-09-19 11:33:46,1442662426333,,2
#AFC My wish and my expectation Arsenal win ❤👍,m5f10z,2015-09-19 11:33:55,1442662435887,,2
"Fabregas: ""If I ever wear a Chelsea shirt, you have permission to kill me."" #AFCvCFC http://t.co/8Y4DviH7XX",TrickyAlexis,2015-09-19 11:33:57,1442662437134,,2
تشكيلة #ارسنال الرسمية صد تسلسي : #تشيك ، بيلرين ، غابريل ، كوسليني ، مونريال ، #كوكلين ، كازورلا ، رامزي ، اوزيل ، #سانشيز ، #والكوت . #AFC,AhmdAFC,2015-09-19 11:34:02,1442662442568,,2
