text,user,created_at,timestamp,geo,polarity
"Chelsea Vs Arsenal

Live Stream : http://t.co/Fkq047lK17

Ftblsk4 #CFCvAFC #CHEARS Kingsholm #iHeartRadio #rickychat Sheikh Rashid",hulya06sec,2015-09-19 11:32:54,1442662374507,,2
"#Arsenal v #Chelsea watch live stream HD TO
PC
http://t.co/0BVEwzeiUc  
MOBILE
http://t.co/fx9ZX1DePc  
#CFCvAFC #CFCLive #CHEARS #BPL
A",KORAWATS1,2015-09-19 11:32:54,1442662374821,,2
"Chelsea V Arsenal

Live Stream : http://t.co/HuXsrQTZ5L

Ftblsk4 #CFC #Afc #CFCvAFC #Chelsea #mourinho #matchday #cfcspares #epl",MeralUsta3,2015-09-19 11:32:54,1442662374860,,2
"Chelsea V Arsenal

Live Stream : http://t.co/ObSBOovD25

Ftblsk4 #CFC #Afc #CFCvAFC #Arsenalday #Retweet #mufc #cfc #afc #mcfc",FutbolKolik16,2015-09-19 11:32:55,1442662375027,,2
@tereza_blue crying cus I'm not with you babe's 😢😢😢 #COYB gotta beat them Arses #CFC,kathb24,2015-09-19 11:32:54,1442662374798,,0
Come on Arsenal! We can do this..!#COYG #CFCvAFC,Kenniedm,2015-09-19 11:32:55,1442662375173,,2
"Chelsea Vs Arsenal

Live Stream : http://t.co/MJ1XdI8SQH

Ftblsk4 #CFC #Afc #CFCvAFC #Arsenalday #Retweet #mufc #cfc #afc #mcfc",sewimkayaa,2015-09-19 11:32:55,1442662375453,,2
"Chelsea Vs Arsenal

Live Stream : http://t.co/rU93fF0Wcf

#ftblsk4 #CFC #afc #CFCvAFC #COYG #Arsenal #Chelsea #coyb #DerbyDay #bpl",markacin,2015-09-19 11:32:55,1442662375493,,2
"Chelsea Vs Arsenal

Live Stream : http://t.co/OEQGhqymvR

Ftblsk4 #CFCvAFC #CHEARS #CFC #Afc #GotCastInARealityShow Demario Richard",InciCenan1,2015-09-19 11:32:55,1442662375798,,2
"Chelsea Vs Arsenal

Live Stream : http://t.co/gO3XCmcc8I

#ftblsk4 #CFC #afc #CFCvAFC #COYG #Arsenal #Chelsea #coyb #DerbyDay #bpl",Canli_Maclar,2015-09-19 11:32:55,1442662375883,,2
"Chelsea Vs Arsenal

Live Stream : http://t.co/wsuccSIiOO

Ftblsk4 #CFCvAFC #CHEARS #CFC #Afc Boyz N The Hood #chelsea Peyton #arsenal",FulyaTurucu,2015-09-19 11:32:55,1442662375893,,2
COME ON CHELSEA!!!!!!!! VAMOS CHELSEA!! @ChelseaFC #CFC,ItsthaboiJossi,2015-09-19 11:32:57,1442662377063,,4
Lets go Chelsea!! #CFC,luiscfc8,2015-09-19 11:32:57,1442662377173,,2
WWW thats what #CFC should aim for https://t.co/EqS4LY7ZLG,Spaycebwoi,2015-09-19 11:32:57,1442662377198,,2
Can't see this being a 0-0! Come on Chels!! #CFC,Smyth_C,2015-09-19 11:32:58,1442662378437,,2
"Chelsea V Arsenal

Live Stream : http://t.co/Fkq047lK17

Ftblsk4 #CFC #Afc #lfc #CHEARS #Coyg #arsenal #chelsea #voetbal #KTBFFH",hulya06sec,2015-09-19 11:32:59,1442662379504,,2
"LoL! and by the way, I expect a draw from this match. I don't see Chelsea folding up under the non existent pressure from Arsenal #CFCvAFC",bbtp,2015-09-19 11:33:00,1442662380436,,2
"Chelsea V Arsenal

Live Stream : http://t.co/MJ1XdI8SQH

Ftblsk4 #CFCvAFC #CHEARS ALL FALLS DOWN #BiharWithRG #QueenNoMultishow #cfc",sewimkayaa,2015-09-19 11:33:00,1442662380529,,2
"Chelsea V Arsenal

Live Stream : http://t.co/i5fttm9h5c

Ftblsk4 #CFC #Afc #CHEARS #CFCvAFC #TalkLikeAPirateDay #saturdaykitchen",MeryemSoylu10,2015-09-19 11:33:00,1442662380824,,2
"Chelsea Vs Arsenal

Live Stream : http://t.co/gO3XCmcc8I

Ftblsk4 #CFC #afc #CFCvAFC #UTC #Gunners #CHEARS #Premierleague #live",Canli_Maclar,2015-09-19 11:33:00,1442662380882,,2
#cfc 🔥🔥🔥🔥🔥🔥 #CFC,Dijaykenny,2015-09-19 11:33:02,1442662382292,,2
Chelsea V Arsenal Live Stream : http://t.co/eHrS9VB6BQ     Ftblsk4 #ThisIsCISC #FormerBlue #CHEARS #CFCvAFC #chelseafc #allincfc,16Gamzeturan,2015-09-19 11:33:02,1442662382799,,2
"Wouldn't boo @PetrCech if you paid me

Vomit in my mouth when arsewanks boo former players

#CHEARS #CFC",FabregassedUp,2015-09-19 11:33:02,1442662382894,,0
#CFC,nakinhaekp3,2015-09-19 11:33:03,1442662383055,,2
Chelsea V Arsenal Live Stream : http://t.co/C2DEmbmnYz     Ftblsk4 #ThisIsCISC #FormerBlue #CHEARS #CFCvAFC #chelseafc #allincfc,TugeKeskin,2015-09-19 11:33:03,1442662383202,,2
Chelsea V Arsenal Live Stream : http://t.co/EgC7m0jnCy     Ftblsk4 #ThisIsCISC #FormerBlue #CHEARS #CFCvAFC #chelseafc #allincfc,PervinCanbulan,2015-09-19 11:33:03,1442662383798,,2
Come on #CFC,ultimesound,2015-09-19 11:33:03,1442662383843,,2
Chelsea V Arsenal Live Stream : http://t.co/2NZVnk7w5c     Ftblsk4 #ThisIsCISC #FormerBlue #CHEARS #CFCvAFC #chelseafc #allincfc,machaberi,2015-09-19 11:33:04,1442662384130,,2
