text,user,created_at,timestamp,geo,lang,polarity
hm I can't watch el classico but i still dont know if i should watch bayern or city?,Istalkyoass,2015-11-21 17:01:48,1448125308379,,en,0
Bin dippers and city or el classico? Tough one that x x,alexmlynch,2015-11-21 17:02:06,1448125326988,,en,2
Fuck man city nd liverpool for now but its important tho but #elclassico is on bitches,itss_DELE,2015-11-21 17:02:14,1448125334219,,en,0
This is the biggest club game on the planet. The el classico.,KehindeSports,2015-11-21 17:02:20,1448125340771,,en,2
Grande partita el classico visca barca,Official8Dennis,2015-11-21 17:02:26,1448125346972,,es,2
Ready for El Classico #elclassicoday #HalaMadrid 😘😘😘😘 https://t.co/G47XiaG7P7,WinataRahma,2015-11-21 17:02:27,1448125347704,,en,2
"stream el classico.
alright.",ToluDerp,2015-11-21 17:02:29,1448125349643,,en,2
"Smh, Why is the el classico on ss5???!! @SuperSportTV",_BaeZus,2015-11-21 17:02:32,1448125352697,,en,0
lets go @realmadrid #elclassico lets do this! #HalaMadrid,azmartinez,2015-11-21 17:02:34,1448125354058,,en,2
Nobar el classico (at @sms_serpong) — https://t.co/n5mo5Eikzl,BagusKuncahyono,2015-11-21 17:02:34,1448125354421,"{u'type': u'Point', u'coordinates': [-6.24052, 106.62905]}",es,2
@FCBarcelona Let's win this. #elclassico.,SirKamauMwangi,2015-11-21 17:02:34,1448125354803,,en,2
el classico,itikplasbak,2015-11-21 17:02:36,1448125356452,,es,2
"Que emoción ¡muchísima suerte a los dos equipos!

#elclassico #mataro #elmaresme #gimnasioporhoras #fitnessporhoras https://t.co/w8jcEhrJOl",gymbyhours,2015-11-21 17:02:37,1448125357490,,es,2
"🇪🇸 Live on Sky Sports

Get 10/1 RONALDO to score + 
REAL to win #elclassico

&gt;&gt; https://t.co/JYCD1gyTxw WIN £50 ⚽️https://t.co/yKkU4eIFUh",sportsbets4u,2015-11-21 17:02:40,1448125360505,,en,2
"🇪🇸 Live on Sky Sports

Get 10/1 RONALDO to score + 
REAL to win #elclassico

&gt;&gt; https://t.co/SyA46YPz1K WIN £50 ⚽️https://t.co/Tp1WWd20M1",Sportsdeals4u,2015-11-21 17:02:40,1448125360595,,en,2
When you have homework but el classico is today,_darsheezy,2015-11-21 17:02:46,1448125366219,,en,0
@Temperrr are you gonna watch el classico(Barcelona vs Real Madrid)?,hanielderrera,2015-11-21 17:02:46,1448125366178,,en,4
"ready to go The Classsssicoo link #mips
FullHD : https://t.co/xd2T9tpNDl

#elclassico #HalaMadrid #RMFCB #madridista1001 #RMliga",madridista_1001,2015-11-21 17:02:47,1448125367113,,en,2
Sorry mom I ain't cleaning some bitch ass weeds right before el classico,AndyLamby,2015-11-21 17:02:47,1448125367715,,en,0
Going to an elclassico match in the next 2 years,LordBrickzz,2015-11-21 17:02:48,1448125368113,,en,2
