text,user,created_at,timestamp,geo,lang,polarity
"ala madrid...ala madrid....ala madrid....ala madrid.......
barcelona witches....prepare to die.....

#todaysmatchnolongtinkoraa",ismaeltorroando,2015-11-21 17:01:49,1448125309847,,es,0
#FutbolEnDIRECTVClasico. Vamos barcelona a seguir encaminados por el sendero de la victoria VISCA BARCA,Samuelja12,2015-11-21 17:01:51,1448125311097,,es,2
Pasame el clasico del barcelona vs real madrid la concha de tu hermana @cablevision,rodriguezsebas,2015-11-21 17:01:51,1448125311835,,es,2
Ese sentimiento de querer que gane el barcelona pero al mismo tiempo que Benzema haga un gol.,ClaauCallejas,2015-11-21 17:01:52,1448125312048,,es,2
"el 11 del real madrid es increible pero mas increible me parece el banquillo que tiene, un abuso!",carlitosmena22,2015-11-21 17:01:51,1448125311965,,es,4
Hoy gana el barcelona con los mejores delanteros #FutbolenDirectvClasico,jamccs123,2015-11-21 17:01:52,1448125312721,,es,4
"Waiting El Clasico

Real Madrid Vs Barcelona

Real Madrid Forever.
#Halamadrid
#cr7 — watching Real Madrid vs barcelona",bikashaveiro17,2015-11-21 17:01:52,1448125312824,,en,2
"Pronosricos de hoy; Gana barcelona, gana pumas, golea tigres y le parten su madre el canelo",AlanHerrera10,2015-11-21 17:01:53,1448125313237,,es,2
Aguí barcelona,muradAls,2015-11-21 17:01:54,1448125314918,,es,2
Solo solo real madrid de corazon #HalaMadrid https://t.co/z1etS5lfRG,NEFTALIPAREDES1,2015-11-21 17:01:54,1448125314650,,es,2
Hoy gana el barcelona*-*,Sheylavera0798,2015-11-21 17:01:55,1448125315147,,es,2
15 mins till official kickoff of #elclasico Real Madrid vs. Barcelona live online stream at https://t.co/fCaEaCZTUU #realmadridvsbarcelona,regiebueno,2015-11-21 17:01:55,1448125315608,,en,2
Watching #clasico #halamadrid #realmmadrid #yariga_clasico #barcelona #bbc I wish realmadrid win 🙏 @… https://t.co/BpaBSCSY8O,BarzingyHi,2015-11-21 17:01:56,1448125316529,,en,2
#Matchday @realmadrid Vs barcelona #ElClasico #HalaMadrid #RMLiga 3pts+ a ganar!!... https://t.co/6CpqrEADDY,MiltonAlexG,2015-11-21 17:01:57,1448125317265,,es,2
"@tanahabangsport 
real madrid 1 - 2 barcelona #KuisTanahAbangSport",ahmad18jummari,2015-11-21 17:01:58,1448125318624,,es,2
Lets do it ti them real madrid #ElClasico,_Just_DANNY,2015-11-21 17:01:58,1448125318759,,en,2
#viscabarca #barcelona (at 76 Coffea) — https://t.co/9IcvyuTTS5,IstiWulandariii,2015-11-21 17:01:58,1448125318862,,en,2
@BetsatTR 2801074 real madrid 2 barcelona 1,HusneKonak,2015-11-21 17:01:58,1448125318937,,es,2
"waitng for barcelona vs real madrid
#ElClasico",afiq_acak,2015-11-21 17:01:59,1448125319362,,en,2
@tdn_twit @tdn_twit alfredo di estefano el primer fichaje de barcelona a el real madrid #ClasicoEnTDN,villepsy,2015-11-21 17:02:00,1448125320243,,es,2
si no me pasan rápido el link para ver real madrid-barca voy a llorar,crismilanesi,2015-11-21 17:02:01,1448125321090,,es,0
@tdn_twit #clas Nando Muñoz Jugo en el barcelona y lugo paso al real madrid este fue el primer traspaso entre cule y merengues,willerv21,2015-11-21 17:02:01,1448125321906,,es,2
@tdn_twit nose si aqui es para responder la pregunta que hicieron fue Shuster el primee jugador en pasar de madrid a barcelona,OficialLocoGP,2015-11-21 17:02:03,1448125323107,,es,2
Barsa vs real madrid....que gane el mejor,tavo1452,2015-11-21 17:02:03,1448125323928,,es,2
#futbolendirectvclasico saludos espero q gane el real madrid hala madris,op_yeffers,2015-11-21 17:02:13,1448125333043,,es,4
@vegetta777 @bysTaXx  esperemos que gane el barcelona,xMarco_ytX,2015-11-21 17:02:16,1448125336229,,es,2
Listo para #Vivir #elclasico #realmadrid Vs #barcelona . #superclasico #halamadrid #applewatchband… https://t.co/SvrBprCjFU,OscarAngarita,2015-11-21 17:02:17,1448125337006,"{u'type': u'Point', u'coordinates': [4.7538285, -74.09765972]}",es,2
@TanahAbangSport  Real madrid 2-1 barcelona #KuisTanahAbangSport,denathabagus,2015-11-21 17:02:17,1448125337174,,es,2
@_official_jose_ fuck i meant to click real madrid lmao,andySBwoah,2015-11-21 17:02:22,1448125342015,,en,2
@tdn_twit Luis figo fue el primer jugador traspasado entre barcelona y real madrid en 1995.,Jonathan_DJ_,2015-11-21 17:02:22,1448125342405,,es,2
Aguí barcelona,Baratheon_e,2015-11-21 17:02:23,1448125343693,,es,2
@imdancarillo real madrid v barcelona,cabozandro,2015-11-21 17:02:24,1448125344896,,es,2
"@tanahabangsport
real madrid 1 - 2 barcelona #KuisTanahAbangSport",ahmad18jummari,2015-11-21 17:02:25,1448125345806,,es,2
"so many sports..... michigan/penn state, man city/liverpool, real madrid/barca, msu/osu, pistons/wizards... let it snow",_flav,2015-11-21 17:02:28,1448125348752,,en,2
La concha de tu madre espn como no me vas a pasar real madrid barcelona @espn,PabloGroothuis4,2015-11-21 17:02:31,1448125351781,,es,2
Hoy gana el barcelona❤ 󾮟  #ForcaBarca: estoy viendo El Clásico,FamiliJESUS,2015-11-21 17:02:33,1448125353204,,es,2
Quien creen que gane barca o real madrid,DiegoRd48532314,2015-11-21 17:02:33,1448125353386,,es,2
La alineación del barcelona https://t.co/zTPFJ8ijGR,ToursDeportivos,2015-11-21 17:02:39,1448125359497,,es,2
i'm real madrid tonight :),mohdfaezuwan,2015-11-21 17:02:40,1448125360440,,en,2
Todo porque hoy es el super clasico real madrid vs barcelona,victormolinares,2015-11-21 17:02:40,1448125360430,,es,2
@polemicjournals barcelona x real madrid,tearsxboy,2015-11-21 17:02:41,1448125361030,,es,2
"@wtf1couk @FIAWEC I'm watching
It's gonna to be better than real-barcelona",NepuNeptune,2015-11-21 17:02:41,1448125361958,,en,2
Tiene que ganar el barcelona,_ElismilJiluizz,2015-11-21 17:02:42,1448125362585,,es,2
si no gana el barcelona me tiro de un puente,nicky_fonseca,2015-11-21 17:02:42,1448125362830,,es,2
#viscabarca#derbyespañol#barcelona# https://t.co/tTWfTfL3Hp,pato_nuno,2015-11-21 17:02:42,1448125362896,,es,2
A que hora juega barcelona madrid?,GermannSuarez,2015-11-21 17:02:43,1448125363580,,es,2
@ryantedders i have family from barcelona we hate madrid lol!! but i know theres the palace and theres the valley of the fallen which is,camilascabello,2015-11-21 17:02:44,1448125364759,,en,0
Barça vs real madrid ♡,jere_poelstra,2015-11-21 17:02:46,1448125366060,,es,2
Vamos real madrid a ganar njdaaaaa😄😄😄😄😄😄😄,keybert_Q,2015-11-21 17:02:49,1448125369641,,es,2
#FutbolEnDIRECTVClasico vamos barcelona carajo,eniojrd,2015-11-21 17:02:50,1448125370096,,es,2
"Real Madrid vs Barcelona
https://t.co/Ve34QOf6ss ES from real madrid channel
Retweet.",S0ccerTV,2015-11-21 17:02:50,1448125370906,,en,2
@TanahAbangSport  Real madrid 3-2 barcelona #KuisTanahAbangSport,denathabagus,2015-11-21 17:02:52,1448125372286,,es,2
"@tanahabangsport 
real madrid 2 - 1 barcelona #KuisTanahAbangSport",ahmad18jummari,2015-11-21 17:02:52,1448125372562,,es,2
El Classico yeeeeepeeeeeeeeeee.hope my fvrt real madrid win and @Cristiano score goals,prince_naughty,2015-11-21 17:02:53,1448125373074,,en,2
Real Madrid vs barcelona #RealMadridDay #ElClasicoDay #HalaMadrid,chandrawijaya00,2015-11-21 17:02:53,1448125373171,,es,2
Hoy solo goles del barcelona ... Son lo mejor de lo mejor muchachos!! #FutbolTotalDIRECTVCLASICO https://t.co/eWR7bvB6Sw,ronaldaguilar10,2015-11-21 17:02:54,1448125374059,,es,4
"El #clásico #realmadrid #barcelona también se juega en #todocoleccion
https://t.co/t8a3h8dNK7 https://t.co/chrIfsi429",TODOCOLECCION,2015-11-21 17:02:54,1448125374725,,es,2
hoy jugaran mis dos equipos favoritos el barcelona y por su puesto q mo hermosos pumass tiene q ganar hoyyyyy,maddyhyungjun,2015-11-21 17:02:55,1448125375059,,es,2
Weekend keren (https://t.co/ogG35DlPhT✌ v liverpool) (barcelona ✌ v realmadrid),Dianrana_,2015-11-21 17:02:55,1448125375695,,en,2
El Clásico. FC Barcelona vs Real Madrid. #elclasico #fcbarcelona #barcelona #fcb #fcbworld #igersfcb… https://t.co/Rmm53TKGDU,ken2x,2015-11-21 17:02:56,1448125376316,,es,2
Se viene el clásico! Apoyando al Barça!! #clasico #barcelona #barça https://t.co/Mx2odcK0Nz,davovasquez,2015-11-21 17:02:56,1448125376921,,es,2
Ya estamos en el palco para el silvatazo inicial del partido real madrid barcelona,tiernoisalvaje,2015-11-21 17:02:59,1448125379901,,es,2
let's go real madrid❤️❤️ https://t.co/AZpq5hXXEp,alexisvieira_,2015-11-21 17:03:00,1448125380731,,en,2
