text,user,created_at,timestamp,geo
"Swansea City Vs Everton

Live Stream : http://t.co/ksxWR5gSbB

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",turkeinfo,2015-09-19 13:53:17,1442670797620,
Swansea City team news vs Everton: Garry Monk turns to Jefferson Montero to try and down Toffees http://t.co/ahtfR63Vd0 #swans,SwansBlog,2015-09-19 13:53:18,1442670798914,
Come On You Blues! #EFC  https://t.co/ZeiskOVhtk,kawanua_toffees,2015-09-19 13:53:19,1442670799208,
"Suplentes de #Everton

1 Joel Robles
4 Darron Gibson
11 Kevin Mirallas
12 Aaron Lennon
19 Gerard Deulofeu
21 Leon Osman
25 Ramiro Funes Mori",RadioDiblu,2015-09-19 13:53:20,1442670800008,
@ryankeithkelley @JMurphy312 @JMohnke Everton said the same thing last weekend,jryoakum,2015-09-19 13:53:20,1442670800012,
Swansea - Everton 📺,FloreentHbt,2015-09-19 13:53:20,1442670800101,
"Miała być transmisja Stoke,ale jest Everton.;/",soyEwi,2015-09-19 13:53:21,1442670801188,
"Pasang Cech, lalu Everton vs Swansea.. Alamat bapuk poin di fpl. Hvft",irdun,2015-09-19 13:53:21,1442670801600,
3 players going in fantasy for Swans versus Everton,DieselCane22,2015-09-19 13:53:24,1442670804509,
@AlabamaToffees Indeed. Swansea can be dangerous with counters and passing. EFC must press the matter from the whistle.,Kozmotif,2015-09-19 13:53:26,1442670806621,
"Swansea XI vs. Everton: Fabianski; Naughton, Fernandez, Williams, Taylor; Cork, Shelvey, Sigurðsson; Montero, Ayew, Gomis. #SwansFC",TheSunFootball,2015-09-19 13:53:26,1442670806841,
"Fuck, there are like 30-40 Everton fans here all of a sudden, did not see this coming #evertonAtlantaFans",dankchikidang,2015-09-19 13:53:27,1442670807804,
The ecuadorian @JeffMontero23 in the starting lineup of @SwansOfficial to play against @Everton https://t.co/eUdLXXXGTf,Jonathan140986,2015-09-19 13:53:28,1442670808140,
JeffMONTERO23 titular en su equipo el #Swans para enfrentar al #Everton en la #BPL,CAMPECUATORIANO,2015-09-19 13:53:28,1442670808675,
Time to watch better football #swaeve,Call_me_TAJ,2015-09-19 13:53:29,1442670809370,
"Banquillo del Swansea: Nordfeldt, Rangel, Bartley, Ki Sung-Yueng, Routledge, Barrow, Eder.",swanseacityBRIT,2015-09-19 13:53:29,1442670809558,
"TEAM NEWS Swansea replace Routledge with Montero. For Everton, Browning makes a #BPL debut, while hat-trick hero Naismith starts #SWAEVE",premierleague,2015-09-19 13:53:32,1442670812284,
Njmsoccer has mist of the 3pm games in HD. Vdubt25 will have Swansea v Everton in the us sports tv section,thestreamteamuk,2015-09-19 13:53:32,1442670812364,
"@Everton watching #SWAvEFC in a bar in Riga, Latvia celebrating @SWakelamEFC 21st birthday. Give him something to smile about boys",benamercer,2015-09-19 13:53:33,1442670813225,
"Swansea City Vs Everton

Match Preview : http://t.co/nZUzyMpgEQ

Ftblsk4 #SWAEVE #SWAvEFC #Bpl #PremierLeague #Matchday #EFC #COYB",ElifNurDa,2015-09-19 13:53:34,1442670814296,
Live Commentary: Swansea City vs. Everton - Sports Mole http://t.co/Pnd5CGT5eQ,RBarkleyNews,2015-09-19 13:53:34,1442670814610,
